year,Africa,Asia,Europe,North_America,South_America,Ocieana,World
1990,658281400,6608574500,8038430700,5989847000,599200260,309502850,22752700000
1991,687829100,7405573000,7738463000,5935607300,606668860,311629250,23229475000
1992,666901500,7248764400,7097750500,6061895000,618657300,318665250,22567199000
1993,706661500,7582536000,6807967000,6166705000,653444400,322921300,22798350000
1994,790281400,7937216500,6447623000,6290008600,656305860,328049120,23034776000
1995,844556600,8257986000,6424747500,6349919000,689413000,339533630,23524491000
1996,872320830,8596896000,6473145300,6570372600,719730100,348048860,24250161000
1997,893989200,8717279000,6267733500,6687401500,766787600,358511400,24395952000
1998,912442100,8473237000,6240960000,6759180300,826148800,371805380,24330945000
1999,899677440,8952734000,6157762000,6854257000,812354050,382569180,24833495000
2000,930042600,9328854000,6155590700,7100392000,811730050,390087700,25501286000
2001,919542850,9491190000,6282255400,7011180500,791288060,400402500,25674930000
2002,899274200,10012849000,6249997000,7062293000,819469060,406002100,26248288000
2003,988565440,11021268000,6396391000,7175886000,820048260,415572540,27648650000
2004,1044866750,11680722000,6429227000,7276133000,856521860,429314880,28620194000
2005,1063180000,12527827000,6421545500,7324302300,881097860,434618750,29592103000
2006,1092165900,13389901000,6522041000,7259958300,909007400,440847580,30605767000
2007,1122721400,14088936000,6479696000,7366565000,943791740,448951040,31499735000
2008,1175619600,14828029000,6404985300,7133400600,987600000,453164500,32041902000
2009,1173163400,15345886000,5892881400,6651773400,961180500,453392670,31493265000
2010,1215373700,16496831000,6123992000,6866123000,1072131140,452128000,33306330000
2011,1255083900,17715628000,6049206000,6768487000,1088917200,450865600,34436470000
2012,1255851500,18400993000,5999425000,6584052000,1143867000,454608350,34935450000
2013,1265469700,18635370000,5844850700,6718273000,1208389400,447430400,35232470000
2014,1344915500,18959088000,5614210000,6755319000,1228455700,443793100,35466195000
2015,1319787300,19113157000,5614495000,6609918000,1193402900,452367230,35463213000
2016,1355493500,19244577000,5606777000,6467595000,1151329200,460575840,35460026000
2017,1369709700,19773784000,5638487600,6418242600,1133713200,465370300,36025455000
2018,1357075100,20401152000,5612440600,6599175700,1067226100,468454430,36766945000
2019,1457568100,20855636000,5436361000,6489114600,1067116200,470116400,37040103000
2020,1356435700,20519535000,5029197000,5835101000,961400300,447291680,35007738000
2021,1435214100,21438681000,5310309000,6201319400,1085906400,437097300,36816544000
2022,1416626600,21772347000,5105307600,6279689000,1085392400,441077630,37149786000
